Size_Degree,VRR_Frequency,Luminance,Luminance_high,Luminance_low,C_t,C_t_high,C_t_low,Observer_name,Age,Gender
0.5,0.5,0.995317239697845,1.0962807063555724,0.662476899224985,0.034287441050828,0.0546730595456566,0.0306529512547507,Yancheng_Cai_2,22,M
1.0,0.5,0.7972850412007761,0.8832733247128094,0.5343464081085998,0.0438106399278395,0.0675812867913056,0.0391482436841422,Yancheng_Cai_2,22,M
16.0,0.5,1.893476266746631,2.092783594729628,1.7030304728837458,0.0161243434276879,0.0182610429507252,0.0143336644371996,Yancheng_Cai_2,22,M
-1.0,0.5,1.4887386748648526,1.5932173520909032,1.3697451923145834,0.0193402694919038,0.0215179344079679,0.0177280735998128,Yancheng_Cai_2,22,M
0.5,1.0,1.5466725621287818,1.6653528803389586,1.408349314453747,0.0205036355466819,0.0228845913322756,0.0187975674005719,Yancheng_Cai_2,22,M
1.0,1.0,1.7363156099798234,1.877470717506188,1.6191615071254408,0.0184314996840673,0.019937220079761,0.0168788803882374,Yancheng_Cai_2,22,M
16.0,1.0,1.377045737999506,1.5269800068360542,,0.02341282959721,,0.0207503347763699,Yancheng_Cai_2,22,M
-1.0,1.0,2.071197648211878,2.252800919324806,1.83633773635145,0.0126449873765728,0.0147681152914456,0.0113439675937296,Yancheng_Cai_2,22,M
0.5,2.0,1.6048676110507631,1.735096941949488,1.363998758548632,0.0196331452193745,0.023758072707043,0.0179117190366635,Yancheng_Cai_2,22,M
1.0,2.0,1.3526970516514354,1.6557998714253828,,0.0243885141552675,,0.0194422514223991,Yancheng_Cai_2,22,M
16.0,2.0,1.8455645289557303,2.087460857915171,1.6470863600327073,0.0166172435304942,0.0189901817332764,0.014376701929239,Yancheng_Cai_2,22,M
-1.0,2.0,2.8184204801780286,2.9703603781702674,2.5434271986838324,0.0084882935792889,0.0096958930419055,0.0079295715984224,Yancheng_Cai_2,22,M
0.5,4.0,1.2521990812523327,1.3843549151173502,1.013789042164464,0.0262552504913971,0.0335650725548145,0.0233497144949023,Yancheng_Cai_2,22,M
1.0,4.0,1.8434826323804647,1.9880085054543453,1.649368877437856,0.0172298611806624,0.0195274602339635,0.015824660803377,Yancheng_Cai_2,22,M
16.0,4.0,1.616201997898526,1.851124272039158,,0.0194159892766831,,0.0165586358897257,Yancheng_Cai_2,22,M
-1.0,4.0,3.5804717945837106,3.822242904554292,3.31321776465708,0.0062218275757181,0.0068814436044074,0.0057152483590344,Yancheng_Cai_2,22,M
0.5,8.0,1.73335832714052,1.8519873152669084,1.627089096050782,0.0179328693371488,0.0193183936546624,0.0165876358822179,Yancheng_Cai_2,22,M
1.0,8.0,1.9455331036366788,2.1146471274571885,1.7668723220322848,0.0162148183502246,0.0180732315322475,0.01475932559496,Yancheng_Cai_2,22,M
16.0,8.0,3.5058963395559783,3.650618059970204,3.3607697713204185,0.0077909903168096,0.0081911947340931,0.0074262512427969,Yancheng_Cai_2,22,M
-1.0,8.0,4.035479620305396,4.484024658179688,3.677708630483621,0.0053257223063744,0.0060089084072313,0.004643318937147,Yancheng_Cai_2,22,M
