size,color,repeat,Y,x,y
16,0.6615270187932356,1,170.619,0.2842,0.2912
16,0.7335178556285477,0,211.805,0.2294544240039044,2.62393497819865e-16
16,0.7335178556285477,1,212.077,0.284,0.2913
16,0.8133431125873235,0,261.715,0.2294544240039044,2.62393497819865e-16
16,0.8133431125873235,1,262.166,0.284,0.2912
16,0.901855372322704,0,318.201,0.284,0.2906
16,0.901855372322704,1,318.781,0.284,0.2906
16,1.0,0,389.018,0.2838,0.2902
16,1.0,1,389.711,0.2838,0.2902
full,0.049999999999999996,0,0.494,0.2786,0.3025
full,0.049999999999999996,1,0.484,0.274,0.3001
full,0.05544126201879391,0,0.526,0.2714,0.2925
full,0.05544126201879391,1,0.532,0.2743,0.2954
full,0.06147467068473124,0,0.66,0.2712,0.2935
full,0.06147467068473124,1,0.659,0.2741,0.2933
full,0.06816466649902507,0,0.745,0.2772,0.2954
full,0.06816466649902507,1,0.744,0.2766,0.297
full,0.07558270271592309,0,0.937,0.275,0.2959
full,0.07558270271592309,1,0.944,0.2757,0.2964
full,0.08380800850724197,0,1.198,0.278,0.2883
full,0.08380800850724197,1,1.2,0.2787,0.2893
full,0.09292843517846627,0,1.743,0.2772,0.2958
full,0.09292843517846627,1,1.734,0.2776,0.2949
full,0.10304139447451709,0,2.153,0.2773,0.2918
full,0.10304139447451709,1,2.157,0.2777,0.2924
full,0.11425489899687216,0,2.86,0.278,0.2905
full,0.11425489899687216,1,2.856,0.2782,0.2909
full,0.12668871584432848,0,3.736,0.2788,0.2909
full,0.12668871584432848,1,3.746,0.2787,0.2915
full,0.14047564579899893,0,4.991,0.2796,0.2948
full,0.14047564579899893,1,4.991,0.2797,0.2949
full,0.15576294172003172,0,6.256,0.28,0.2938
full,0.15576294172003172,1,6.243,0.2799,0.2937
full,0.17271388129436815,0,7.933,0.2799,0.293
full,0.17271388129436815,1,7.93,0.2798,0.2926
full,0.19150951094247873,0,10.468,0.28,0.293
full,0.19150951094247873,1,10.469,0.2801,0.2931
full,0.21235057950506092,0,12.948,0.2807,0.2924
full,0.21235057950506092,1,12.934,0.2806,0.2923
full,0.23545968236365628,0,16.232,0.2819,0.2929
full,0.23545968236365628,1,16.215,0.2819,0.2929
full,0.2610836388957092,0,20.339,0.2821,0.2926
full,0.2610836388957092,1,20.34,0.2821,0.2926
full,0.2894961286567438,0,25.209,0.2826,0.2937
full,0.2894961286567438,1,25.189,0.2826,0.2937
full,0.3210006144457002,0,31.207,0.2826,0.2929
full,0.3210006144457002,1,31.219,0.2826,0.293
full,0.3559335834735583,0,38.297,0.2828,0.2927
full,0.3559335834735583,1,38.315,0.2828,0.2927
full,0.3946681412529161,0,46.029,0.2825,0.293
full,0.3946681412529161,1,46.001,0.2825,0.2929
full,0.4376179965934659,0,53.078,0.2831,0.293
full,0.4376179965934659,1,53.083,0.283,0.2929
full,0.4852418802655602,0,60.105,0.2832,0.2928
