idx, R, G, B, type, Y, x, y, L, M, S, Y1, x1, y1
82, 0.199488, 0.199488, 0.199488, ramp_w, 0.151, 0.2827, 0.3139, NaN, NaN, NaN, NaN, NaN, NaN
83, 0.201196, 0.201196, 0.201196, ramp_w, 0.151, 0.2804, 0.3113, NaN, NaN, NaN, NaN, NaN, NaN
84, 0.202919, 0.202919, 0.202919, ramp_w, 0.151, 0.2816, 0.3126, NaN, NaN, NaN, NaN, NaN, NaN
85, 0.204656, 0.204656, 0.204656, ramp_w, 0.151, 0.2819, 0.3107, NaN, NaN, NaN, NaN, NaN, NaN
86, 0.206408, 0.206408, 0.206408, ramp_w, 0.152, 0.2834, 0.3121, NaN, NaN, NaN, NaN, NaN, NaN
87, 0.208176, 0.208176, 0.208176, ramp_w, 0.152, 0.2798, 0.3128, NaN, NaN, NaN, NaN, NaN, NaN
88, 0.209958, 0.209958, 0.209958, ramp_w, 0.152, 0.2825, 0.3134, NaN, NaN, NaN, NaN, NaN, NaN
89, 0.211756, 0.211756, 0.211756, ramp_w, 0.153, 0.2828, 0.3135, NaN, NaN, NaN, NaN, NaN, NaN
90, 0.213569, 0.213569, 0.213569, ramp_w, 0.152, 0.2834, 0.3121, NaN, NaN, NaN, NaN, NaN, NaN
91, 0.215397, 0.215397, 0.215397, ramp_w, 0.155, 0.2843, 0.317, NaN, NaN, NaN, NaN, NaN, NaN
92, 0.217242, 0.217242, 0.217242, ramp_w, 0.152, 0.2819, 0.3128, NaN, NaN, NaN, NaN, NaN, NaN
93, 0.219102, 0.219102, 0.219102, ramp_w, 0.153, 0.2811, 0.3116, NaN, NaN, NaN, NaN, NaN, NaN
94, 0.220978, 0.220978, 0.220978, ramp_w, 0.162, 0.2792, 0.3098, NaN, NaN, NaN, NaN, NaN, NaN
95, 0.22287, 0.22287, 0.22287, ramp_w, 0.165, 0.2825, 0.3107, NaN, NaN, NaN, NaN, NaN, NaN
96, 0.224778, 0.224778, 0.224778, ramp_w, 0.163, 0.2814, 0.3099, NaN, NaN, NaN, NaN, NaN, NaN
97, 0.226703, 0.226703, 0.226703, ramp_w, 0.168, 0.2818, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
98, 0.228644, 0.228644, 0.228644, ramp_w, 0.169, 0.2823, 0.3078, NaN, NaN, NaN, NaN, NaN, NaN
99, 0.230601, 0.230601, 0.230601, ramp_w, 0.167, 0.2815, 0.3093, NaN, NaN, NaN, NaN, NaN, NaN
100, 0.232576, 0.232576, 0.232576, ramp_w, 0.168, 0.2818, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
101, 0.234567, 0.234567, 0.234567, ramp_w, 0.171, 0.2834, 0.3087, NaN, NaN, NaN, NaN, NaN, NaN
102, 0.236576, 0.236576, 0.236576, ramp_w, 0.17, 0.2798, 0.3069, NaN, NaN, NaN, NaN, NaN, NaN
103, 0.238601, 0.238601, 0.238601, ramp_w, 0.169, 0.2808, 0.3062, NaN, NaN, NaN, NaN, NaN, NaN
104, 0.240644, 0.240644, 0.240644, ramp_w, 0.172, 0.2784, 0.305, NaN, NaN, NaN, NaN, NaN, NaN
105, 0.242705, 0.242705, 0.242705, ramp_w, 0.171, 0.2758, 0.3043, NaN, NaN, NaN, NaN, NaN, NaN
106, 0.244783, 0.244783, 0.244783, ramp_w, 0.172, 0.2779, 0.3044, NaN, NaN, NaN, NaN, NaN, NaN
107, 0.246879, 0.246879, 0.246879, ramp_w, 0.173, 0.2787, 0.3051, NaN, NaN, NaN, NaN, NaN, NaN
108, 0.248992, 0.248992, 0.248992, ramp_w, 0.175, 0.2775, 0.3054, NaN, NaN, NaN, NaN, NaN, NaN
109, 0.251124, 0.251124, 0.251124, ramp_w, 0.172, 0.2764, 0.3028, NaN, NaN, NaN, NaN, NaN, NaN
110, 0.253274, 0.253274, 0.253274, ramp_w, 0.178, 0.2803, 0.308, NaN, NaN, NaN, NaN, NaN, NaN
111, 0.255443, 0.255443, 0.255443, ramp_w, 0.177, 0.2797, 0.3094, NaN, NaN, NaN, NaN, NaN, NaN
112, 0.25763, 0.25763, 0.25763, ramp_w, 0.178, 0.2793, 0.3069, NaN, NaN, NaN, NaN, NaN, NaN
113, 0.259836, 0.259836, 0.259836, ramp_w, 0.176, 0.2795, 0.3056, NaN, NaN, NaN, NaN, NaN, NaN
114, 0.262061, 0.262061, 0.262061, ramp_w, 0.178, 0.2815, 0.3074, NaN, NaN, NaN, NaN, NaN, NaN
115, 0.264305, 0.264305, 0.264305, ramp_w, 0.176, 0.2775, 0.3072, NaN, NaN, NaN, NaN, NaN, NaN
116, 0.266568, 0.266568, 0.266568, ramp_w, 0.174, 0.2783, 0.3026, NaN, NaN, NaN, NaN, NaN, NaN
