observer,age,session_id,repetition,luminance,frequency,color_direction,alpha,beta,size_ge,trial,contrast,response
rafal,41,274,1,10,4,3,0,0,-0.5,17,0.041354,1
rafal,41,274,1,10,4,1,0,0,-0.5,12,0.013663,1
rafal,41,274,1,10,4,3,0,0,-0.5,18,0.040225,1
rafal,41,274,1,10,1,2,0,0,-0.5,10,0.00601,1
rafal,41,274,1,10,1,1,0,0,-0.5,11,0.008074,1
rafal,41,274,1,10,1,2,0,0,-0.5,11,0.005845,1
rafal,41,274,1,10,1,1,0,0,-0.5,12,0.007431,1
rafal,41,274,1,10,1,2,0,0,-0.5,12,0.005608,1
rafal,41,274,1,10,1,2,0,0,-0.5,13,0.005161,1
rafal,41,274,1,10,4,1,0,0,-0.5,13,0.013107,1
rafal,41,274,1,10,4,2,0,0,-0.5,11,0.025008,0
rafal,41,274,1,10,1,2,0,0,-0.5,14,0.004816,0
rafal,41,274,1,10,1,2,0,0,-0.5,15,0.00538,0
rafal,41,274,1,10,1,3,0,0,-0.5,16,0.029256,0
rafal,41,274,1,10,1,2,0,0,-0.5,16,0.005765,1
rafal,41,274,1,10,1,1,0,0,-0.5,13,0.006744,1
rafal,41,274,1,10,4,2,0,0,-0.5,12,0.027174,1
rafal,41,274,1,10,1,1,0,0,-0.5,14,0.006121,1
rafal,41,274,1,10,4,2,0,0,-0.5,13,0.026432,1
rafal,41,274,1,10,1,2,0,0,-0.5,17,0.005686,1
rafal,41,274,1,10,1,2,0,0,-0.5,18,0.005531,1
rafal,41,274,1,10,1,1,0,0,-0.5,15,0.005712,1
rafal,41,274,1,10,4,2,0,0,-0.5,14,0.02571,1
rafal,41,274,1,10,1,3,0,0,-0.5,17,0.032233,0
rafal,41,274,1,10,1,2,0,0,-0.5,19,0.00538,1
rafal,41,274,1,10,4,1,0,0,-0.5,14,0.012574,1
rafal,41,274,1,10,1,2,0,0,-0.5,20,0.005233,0
rafal,41,274,1,10,1,2,0,0,-0.5,21,0.005455,1
rafal,41,274,1,10,1,2,0,0,-0.5,22,0.005455,0
rafal,41,274,1,10,1,1,0,0,-0.5,16,0.00533,1
rafal,41,274,1,10,1,2,0,0,-0.5,23,0.005531,0
rafal,41,274,1,10,4,3,0,0,-0.5,19,0.039672,0
rafal,41,274,1,10,1,2,0,0,-0.5,24,0.005686,1
rafal,41,274,1,10,4,1,0,0,-0.5,15,0.012063,0
rafal,41,274,1,10,1,3,0,0,-0.5,18,0.034068,1
rafal,41,274,1,10,4,2,0,0,-0.5,15,0.025008,0
rafal,41,274,1,10,1,3,0,0,-0.5,19,0.0336,1
rafal,41,274,1,10,4,3,0,0,-0.5,20,0.040785,0
rafal,41,274,1,10,4,3,0,0,-0.5,21,0.042515,0
rafal,41,274,1,10,4,2,0,0,-0.5,16,0.026068,0
rafal,41,274,1,10,1,2,0,0,-0.5,25,0.005608,1
